Nr.	Depth	Coverage	Quality	Probability	Positives	p-Value	Conditions
131	5	1096	0.248591810464859	0.6040145985401459	662.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND AREA_TERRENO in (552.0, 21167.36] AND AREA_CONSTRUCAO in (399.06, 3444.27] AND Y in (7791068.0, 7795938.5] AND X in (608790.4, 614244.56]
132	5	1350	0.24854302406311035	0.5370370370370371	725.0	NaN	Y in (-inf, 7793429.0] AND TIPO_CONSTRUTIVO = 'CASA' AND Y in (7791073.5, inf) AND AREA_CONSTRUCAO in (399.98, 3444.27] AND AREA_TERRENO in (413.0, inf)
133	5	1350	0.24854302406311035	0.5370370370370371	725.0	NaN	Y in (-inf, 7793429.0] AND TIPO_CONSTRUTIVO = 'CASA' AND AREA_CONSTRUCAO in (399.98, 3444.27] AND Y in (7791068.0, inf) AND AREA_TERRENO in (413.0, inf)
134	5	1350	0.24854302406311035	0.5370370370370371	725.0	NaN	Y in (-inf, 7793429.0] AND TIPO_CONSTRUTIVO = 'CASA' AND AREA_CONSTRUCAO in (399.98, 3444.27] AND AREA_TERRENO in (413.0, inf) AND Y in (7791068.0, inf)
135	5	1356	0.24837495386600494	0.5353982300884956	726.0	NaN	Y in (-inf, 7793429.0] AND X in (609126.25, 614244.56] AND TIPO_CONSTRUTIVO = 'CASA' AND AREA_CONSTRUCAO in (399.98, 3444.27] AND AREA_TERRENO in (413.0, inf)
136	5	1356	0.24837495386600494	0.5353982300884956	726.0	NaN	Y in (-inf, 7793429.0] AND TIPO_CONSTRUTIVO = 'CASA' AND X in (609126.25, 614244.56] AND AREA_CONSTRUCAO in (399.98, 3444.27] AND AREA_TERRENO in (413.0, inf)
137	5	1356	0.24837495386600494	0.5353982300884956	726.0	NaN	Y in (-inf, 7793429.0] AND TIPO_CONSTRUTIVO = 'CASA' AND AREA_CONSTRUCAO in (399.98, 3444.27] AND X in (-inf, 614244.56] AND AREA_TERRENO in (413.0, inf)
138	5	1356	0.24837495386600494	0.5353982300884956	726.0	NaN	Y in (-inf, 7793429.0] AND TIPO_CONSTRUTIVO = 'CASA' AND AREA_CONSTRUCAO in (399.98, 3444.27] AND AREA_TERRENO in (413.0, inf) AND X in (-inf, 614244.56]
139	4	1099	0.2483120709657669	0.6023657870791629	662.0	NaN	TIPO_CONSTRUTIVO = 'CASA' AND AREA_TERRENO in (552.0, 21167.36] AND AREA_CONSTRUCAO in (399.06, 3444.27] AND Y in (7791068.0, 7795938.5]
140	4	1358	0.24820512533187866	0.5346097201767305	726.0	NaN	Y in (-inf, 7793429.0] AND TIPO_CONSTRUTIVO = 'CASA' AND AREA_CONSTRUCAO in (399.98, 3444.27] AND AREA_TERRENO in (413.0, inf)
